user_id,is_hub,adjacency_reads
5516,false,11
5521,false,11
5531,false,11
5555,false,11
5660,false,11
5707,false,11
5890,false,11
5899,false,11
5913,false,11
5990,false,11
5994,false,11
6151,false,11
6179,false,11
6188,false,11
6255,false,11
6293,false,11
6295,false,11
6307,false,11
6335,false,11
6382,false,11
6426,false,11
6437,false,11
6438,false,11
6688,false,11
6718,false,11
6824,false,11
6838,false,11
6866,false,11
7025,false,11
7039,false,11
7044,false,11
7045,false,11
7092,false,11
7157,false,11
7213,false,11
7235,false,11
7250,false,11
7289,false,11
7299,false,11
7308,false,11
7322,false,11
7350,false,11
7360,false,11
7484,false,11
7493,false,11
7532,false,11
7604,false,11
7675,false,11
7689,false,11
7720,false,11
7785,false,11
7926,false,11
7933,false,11
7999,false,11
8069,false,11
8108,false,11
8166,false,11
8243,false,11
8278,false,11
8336,false,11
8378,false,11
8528,false,11
8592,false,11
8594,false,11
8646,false,11
8680,false,11
8685,false,11
8690,false,11
8797,false,11
8807,false,11
8811,false,11
8855,false,11
8862,false,11
8954,false,11
8973,false,11
8990,false,11
8993,false,11
9028,false,11
9035,false,11
9051,false,11
9052,false,11
9077,false,11
9292,false,11
9465,false,11
9533,false,11
9535,false,11
9637,false,11
9705,false,11
9721,false,11
9731,false,11
9826,false,11
9928,false,11
9976,false,11
109,false,10
184,false,10
197,false,10
213,false,10
227,false,10
238,false,10
239,false,10
270,false,10
364,false,10
365,false,10
388,false,10
403,false,10
436,false,10
459,false,10
468,false,10
486,false,10
494,false,10
499,false,10
516,false,10
517,false,10
527,false,10
535,false,10
554,false,10
587,false,10
625,false,10
666,false,10
677,false,10
698,false,10
710,false,10
780,false,10
784,false,10
786,false,10
800,false,10
822,false,10
829,false,10
892,false,10
922,false,10
946,false,10
969,false,10
974,false,10
983,false,10
1024,false,10
1030,false,10
1056,false,10
1069,false,10
1098,false,10
1112,false,10
1136,false,10
1153,false,10
1172,false,10
1177,false,10
1195,false,10
1197,false,10
1259,false,10
1263,false,10
1273,false,10
1310,false,10
1374,false,10
1396,false,10
1398,false,10
1427,false,10
1430,false,10
1433,false,10
1451,false,10
1462,false,10
1514,false,10
1531,false,10
1535,false,10
1542,false,10
1549,false,10
1559,false,10
1579,false,10
1590,false,10
1624,false,10
1629,false,10
1660,false,10
1663,false,10
1686,false,10
1689,false,10
1693,false,10
1701,false,10
1704,false,10
1718,false,10
1723,false,10
1764,false,10
1771,false,10
1804,false,10
1812,false,10
1840,false,10
1917,false,10
1927,false,10
1968,false,10
1976,false,10
1989,false,10
1995,false,10
1999,false,10
2017,false,10
2040,false,10
2044,false,10
2050,false,10
2084,false,10
2104,false,10
2107,false,10
2116,false,10
2132,false,10
2133,false,10
2160,false,10
2189,false,10
2196,false,10
2258,false,10
2407,false,10
2424,false,10
2456,false,10
2460,false,10
2518,false,10
2578,false,10
2599,false,10
2617,false,10
2644,false,10
2646,false,10
2678,false,10
2693,false,10
2744,false,10
2776,false,10
2784,false,10
2823,false,10
2847,false,10
2855,false,10
2873,false,10
2874,false,10
2882,false,10
2914,false,10
2928,false,10
3042,false,10
3057,false,10
3067,false,10
3078,false,10
3119,false,10
3151,false,10
3155,false,10
3228,false,10
3258,false,10
3278,false,10
3302,false,10
3309,false,10
3331,false,10
3332,false,10
3345,false,10
3355,false,10
3384,false,10
3389,false,10
3393,false,10
3394,false,10
3396,false,10
3401,false,10
3444,false,10
3480,false,10
3508,false,10
3539,false,10
3545,false,10
3563,false,10
3573,false,10
3606,false,10
3621,false,10
3633,false,10
3644,false,10
3659,false,10
3666,false,10
3709,false,10
3766,false,10
3775,false,10
3781,false,10
3789,false,10
3857,false,10
3886,false,10
3891,false,10
3915,false,10
3957,false,10
3964,false,10
3972,false,10
3989,false,10
4019,false,10
4027,false,10
4038,false,10
4048,false,10
4070,false,10
4111,false,10
4124,false,10
4154,false,10
4251,false,10
4259,false,10
4287,false,10
4355,false,10
4356,false,10
4430,false,10
4440,false,10
4469,false,10
4484,false,10
4486,false,10
4508,false,10
4512,false,10
4536,false,10
4584,false,10
4631,false,10
4635,false,10
